id,city_or_regency,year,total_area (km2),population,densities,traffic_density,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score
21022022,Bintan,2022,"1,946.13","165,781",85.18,Low,0.19,74.99,"22,996",1,"2,040.99",75.82
21032022,Natuna,2022,"2,009.04","83,102",41.36,Low,0.32,73.47,"24,265",1,"1,247.51",74.18
21042022,Lingga,2022,"2,117.72","102,853",48.57,Low,,66.57,"4,853",1,"1,037.66",73.38
21052022,Kepulauan Anambas,2022,590.14,"49,632",84.10,Low,,69.61,"19,909",,481.80,75.48
21712022,City of Batam,2022,"3,868.97","1,236,010",319.47,Low,2.50,81.67,"194,836",1,"41,346.16",74.67
21722022,City of Tanjung Pinang,2022,144.56,"239,854",1659.20,Low,25.07,79.64,"21,792",1,"5,690.54",74.87
31012022,Kep. Seribu,2022,10.73,"28,262",2633.92,Medium,2.91,72.79,"10,126",,653.11,72.98
31712022,City of Jakarta Selatan,2022,144.94,"2,234,262",15415.08,High,3.21,85.21,"730,695",1,"71,330.09",74.11
31732022,City of Jakarta Pusat,2022,47.56,"1,053,482",22150.59,High,0.84,82.11,"795,395",,"31,026.85",72.06
31742022,City of Jakarta Barat,2022,125.00,"2,458,707",19669.66,High,0.02,82.51,"540,753",,"73,854.78",72.82
31752022,City of Jakarta Utara,2022,147.21,"1,799,220",12222.13,High,0.83,80.81,"587,792",,"49,948.08",73.73
32012022,Bogor,2022,"2,710.62","5,566,838",2053.71,Medium,,71.2,"267,744",,,74.49
32022022,Sukabumi,2022,"4,145.70","2,806,664",677.01,Low,,67.64,"76,244",,,74.43
32032022,Cianjur,2022,"3,840.16","2,542,793",662.16,Low,,65.94,"53,989",,,74.85
32042022,Bandung,2022,"1,767.96","3,718,660",2103.36,Medium,282.45,73.16,"143,002",1,"46,835.19",74.24
32052022,Garut,2022,"3,074.07","2,627,220",854.64,Low,0.19,67.41,"66,591",1,"40,596.96",73.51
32062022,Tasikmalaya,2022,"2,551.19","1,906,288",747.22,Low,,66.84,"42,660",1,,72.21
32082022,Kuningan,2022,"1,110.56","1,196,017",1076.95,Low,0.11,70.16,"29,520",1,"21,878.21",73.16
32092022,Cirebon,2022,984.52,"2,315,417",2351.82,Medium,,70.06,"56,654",,,74.98
32102022,Majalengka,2022,"1,204.24","1,335,460",1108.96,Low,,68.56,"37,777",,,74.72
32112022,Sumedang,2022,"1,518.33","1,167,033",768.63,Low,0.14,72.69,"40,025",,"16,159.20",74.65
32122022,Indramayu,2022,"2,040.11","1,871,832",917.52,Low,0.74,68.55,"90,773",2,"40,648.11",73.21
32132022,Subang,2022,"1,893.95","1,624,386",857.67,Low,,69.87,"46,160",,,74.30
32142022,Purwakarta,2022,825.74,"1,028,569",1245.63,Low,,71.56,"76,478",,,74.13
32152022,Karawang,2022,"1,652.20","2,505,247",1516.31,Low,,71.74,"268,229",1,"36,643.65",73.61
32162022,Bekasi,2022,"1,224.88","3,214,791",2624.58,Medium,,75.22,"367,562",1,"82,137.91",74.34
32712022,City of Bogor,2022,118.50,"1,063,513",8974.79,Medium,2.38,77.17,"52,915",1,"27,172.76",74.70
32722022,City of Sukabumi,2022,48.25,"356,410",7386.74,Medium,4.25,75.4,"14,192",1,"6,582.84",73.52
32732022,City of Bandung,2022,167.67,"2,461,553",14680.94,High,1.06,82.5,"328,151",1,"58,187.65",74.21
32742022,City of Cirebon,2022,37.36,"341,235",9133.70,Medium,1.70,75.89,"26,618",,,75.91
32752022,City of Bekasi,2022,206.61,"2,590,257",12536.94,High,0.10,82.46,"109,881",1,"66,817.90",74.82
32762022,City of Depok,2022,200.29,"2,123,349",10601.37,High,0.36,81.86,"81,167",,,74.38
32792022,City of Banjar,2022,113.49,"206,457",1819.16,Low,36.26,72.55,"4,929",1,"3,126.78",75.36
33022022,Banyumas,2022,"1,328.00","1,806,013",1359.95,Low,231.39,73.17,"62,817",1,"19,596.45",72.08
33032022,Purbalingga,2022,777.64,"1,019,840",1311.46,Low,,69.54,"28,824",1,"18,612.08",73.66
33052022,Kebumen,2022,"1,281.11","1,376,825",1074.71,Low,223.26,70.79,"32,615",2,"16,901.34",72.34
33062022,Purworejo,2022,"1,034.84","778,257",752.06,Low,0.33,73.6,"21,353",1,"10,569.42",71.99
33072022,Wonosobo,2022,984.68,"896,346",910.29,Low,,68.89,"21,587",1,"13,368.26",71.97
33082022,Magelang,2022,"1,085.73","1,312,573",1208.93,Low,0.00,70.85,"37,432",,,71.94
33092022,Boyolali,2022,"1,096.35","1,079,952",985.04,Low,0.30,74.97,"38,789",1,"10,678.13",70.75
33102022,Klaten,2022,655.56,"1,275,850",1946.20,Low,,76.95,"46,592",1,"23,470.34",71.27
33112022,Sukoharjo,2022,466.66,"916,627",1964.23,Low,,77.94,"42,781",1,"13,210.11",72.88
33122022,Wonogiri,2022,"1,941.28","1,057,087",544.53,Low,720.21,71.04,"33,692",1,"12,691.79",73.48
33132022,Karanganyar,2022,774.00,"947,642",1224.34,Low,0.59,76.58,"43,088",1,"13,706.60",73.44
33142022,Sragen,2022,941.55,"992,243",1053.84,Low,117.34,74.65,"44,243",1,"21,541.74",70.99
33152022,Grobogan,2022,"2,022.25","1,470,150",726.99,Low,0.71,70.97,"31,807",1,"31,002.18",73.04
33162022,Blora,2022,"1,820.95","888,224",487.78,Low,4.87,69.95,"30,960",2,"13,981.18",71.97
33172022,Rembang,2022,"1,014.08","650,770",641.73,Low,1.38,71,"22,107",1,"9,202.60",72.58
33182022,Pati,2022,"1,503.68","1,339,572",890.86,Low,383.58,73.14,"50,119",1,"24,622.39",72.71
33192022,Kudus,2022,425.20,"856,472",2014.28,Medium,6.30,75.89,"114,565",1,"16,357.90",69.66
33202022,Jepara,2022,"1,062.01","1,192,811",1123.16,Low,182.33,73.15,"35,011",3,"15,051.64",70.35
33212022,Demak,2022,897.43,"1,223,217",1363.02,Low,0.74,73.36,"30,252",1,"26,366.64",72.12
33222022,Semarang,2022,950.21,"1,068,492",1124.48,Low,0.00,74.67,"56,640",1,"19,342.15",72.04
33232022,Temanggung,2022,870.65,"799,764",918.58,Low,171.59,70.77,"24,726",1,"14,605.04",71.98
33242022,Kendal,2022,"1,002.23","1,033,367",1031.07,Low,0.07,73.19,"49,666",1,"14,965.29",73.12
33252022,Batang,2022,788.60,"813,791",1031.94,Low,,69.45,"25,444",1,"20,705.54",71.25
33262022,Pekalongan,2022,836.13,"986,455",1179.79,Low,0.20,70.81,"25,962",1,"14,256.96",70.96
33272022,Pemalang,2022,"1,115.00","1,500,754",1345.97,Low,150.18,67.19,"29,915",1,"21,669.45",73.06
33282022,Tegal,2022,876.10,"1,623,595",1853.21,Low,0.16,69.53,"40,770",1,"30,646.62",70.55
33292022,Brebes,2022,"1,769.62","2,010,617",1136.19,Low,1.78,67.03,"53,709",2,"36,693.76",72.65
33722022,City of Surakarta,2022,46.72,"523,008",11194.52,High,,83.08,"55,849",1,"13,734.55",71.85
33732022,City of Salatiga,2022,56.78,"195,065",3435.45,Medium,,84.35,"15,381",1,"4,166.83",73.36
33752022,City of Pekalongan,2022,45.25,"309,742",6845.13,Medium,,75.9,"12,591",,,70.84
33762022,City of Tegal,2022,39.68,"278,299",7013.58,Medium,,76.15,"17,680",1,"7,936.60",73.23
34012022,Kulon Progo,2022,586.30,"440,680",751.63,Low,0.79,75.46,"14,315",1,"6,473.07",73.34
34022022,Bantul,2022,506.85,"1,000,800",1974.55,Low,,80.69,"31,183",,,72.63
34032022,Gunung Kidul,2022,"1,485.36","749,710",504.73,Low,0.02,70.96,"22,749",1,"13,787.19",70.61
34042022,Sleman,2022,574.82,"1,145,850",1993.41,Low,,84.31,"54,702",1,"21,780.73",71.2
34712022,City of Yogyakarta,2022,32.50,"375,520",11554.46,High,2.62,87.69,"42,624",,"11,064.26",71.32
35022022,Ponorogo,2022,"1,371.78","964,253",702.92,Low,0.12,71.87,"23,028",1,"13,955.26",74.97
35042022,Tulungagung,2022,"1,055.65","1,105,337",1047.07,Low,,74.06,"44,133",1,"20,214.89",72.17
35062022,Kediri,2022,"1,386.05","1,656,020",1194.78,Low,0.01,73.46,"46,650",1,"24,008.24",71.83
35072022,Malang,2022,"3,530.65","2,685,900",760.74,Low,,71.38,"117,422",3,"35,061.41",72.11
35082022,Lumajang,2022,"1,790.90","1,137,227",635.00,Low,4.12,66.95,"36,664",1,"19,144.61",74.98
35092022,Jember,2022,"3,306.69","2,567,718",776.52,Low,0.60,67.97,"88,030",4,"37,036.24",72.48
35102022,Banyuwangi,2022,"5,782.50","1,731,731",299.48,Low,,71.94,"93,279",1,"29,707.85",72.37
35122022,Situbondo,2022,"1,638.50","691,260",421.89,Low,5.45,68.25,"23,129",1,"9,389.17",73.29
35132022,Probolinggo,2022,"1,696.17","1,159,965",683.87,Low,3.99,66.96,"38,933",1,"16,876.05",74.74
35142022,Pasuruan,2022,"1,474.02","1,619,035",1098.38,Low,,69.68,"172,654",,,71.1
35152022,Sidoarjo,2022,714.27,"2,103,401",2944.83,Medium,0.38,81.02,"245,227",,,75.08
35162022,Mojokerto,2022,692.15,"1,133,584",1637.77,Low,2.74,74.89,"95,798",2,"16,832.26",73.97
35182022,Nganjuk,2022,"1,224.33","1,117,033",912.36,Low,3.14,72.93,"30,820",3,"16,210.77",71.89
35202022,Magetan,2022,688.84,"678,343",984.76,Low,17.94,74.85,"21,195",1,"10,064.79",73.33
35222022,Bojonegoro,2022,"2,307.06","1,315,125",570.04,Low,15.87,70.12,"100,493",2,"13,727.14",73.98
35242022,Lamongan,2022,"1,752.21","1,371,509",782.73,Low,0.11,74.02,"45,441",1,"8,324.09",73.48
35272022,Sampang,2022,"1,233.00","984,162",798.18,Low,1.90,63.39,"23,009",2,"16,951.13",75.63
35282022,Pamekasan,2022,792.20,"857,818",1082.83,Low,39.32,66.99,"19,263",1,"10,114.06",73.02
35292022,Sumenep,2022,"2,093.47","1,136,632",542.94,Low,2.42,67.87,"40,255",1,"13,219.79",72.3
35712022,City of Kediri,2022,63.40,"289,418",4564.66,Medium,6.80,79.59,"152,778",1,"6,518.37",74.44
35722022,City of Blitar,2022,32.58,"151,960",4664.21,Medium,11.28,79.93,"7,834",1,"2,773.27",72.5
35732022,City of Malang,2022,110.06,"846,126",7687.86,Medium,,82.71,"84,807",1,"27,914.84",73.76
35752022,City of Pasuruan,2022,35.29,"211,497",5993.11,Medium,8.69,76.54,"9,453",1,"5,329.73",74.35
35762022,City of Mojokerto,2022,20.21,"134,350",6647.70,Medium,0.05,79.32,"7,637",1,"2,442.03",73.46
35772022,City of Madiun,2022,33.23,"199,192",5994.34,Medium,2.89,82.01,"15,819",1,"4,421.98",73.32
35792022,City of Batu,2022,199.09,"216,735",1088.63,Low,201.17,77.22,"18,588",1,"4,935.95",72.36
36012022,Pandeglang,2022,"2,746.00","1,298,850",473.00,Low,,65.84,"32,077",,,68.32
36022022,Lebak,2022,"3,305.07","1,417,350",428.84,Low,5.78,64.71,"33,475",2,"21,588.52",65.11
36032022,Tangerang,2022,959.61,"3,321,650",3461.46,Medium,0.23,72.97,"160,167",1,"84,149.77",67.43
36712022,City of Tangerang,2022,164.55,"1,931,640",11738.92,High,,78.9,"182,409",1,"50,425.81",67.12
36722022,City of Cilegon,2022,162.51,"445,060",2738.66,Medium,,73.95,"120,767",1,"8,316.91",66.73
36732022,City of Serang,2022,266.74,"712,410",2670.80,Medium,,72.98,"36,724",1,"21,346.40",67.41
36742022,City of Tangerang Selatan,2022,147.19,"1,378,710",9366.87,Medium,,81.95,"96,137",1,"35,500.94",69.84
51012022,Jembrana,2022,841.80,"327,900",389.52,Low,0.41,73.58,"14,532",1,"5,947.29",73.83
51022022,Tabanan,2022,839.33,"469,300",559.14,Low,53.11,76.75,"23,681",,,74.88
51032022,Badung,2022,418.50,"549,500",1313.02,Low,129.92,82.13,"55,290",1,"11,947.46",75.02
51042022,Gianyar,2022,368.00,"524,000",1423.91,Low,0.77,78.39,"27,944",1,"19,669.85",74.97
51052022,Klungkung,2022,315.00,"214,000",679.37,Low,0.07,72.55,"9,210",3,"3,764.36",75.01
51062022,Bangli,2022,520.81,"267,100",512.85,Low,2.36,70.26,"7,338",1,"4,083.61",75.27
51082022,Buleleng,2022,"1,366.00","825,100",604.03,Low,1.41,73.45,"35,805",1,"14,328.37",75.12
51712022,City of Denpasar,2022,127.78,"726,800",5687.90,Medium,1.38,84.37,"54,634",1,"31,631.27",76.14
52012022,Lombok Barat,2022,"1,053.92","742,074",704.11,Low,,69.41,"16,562",1,"10,533.61",68.27
52032022,Lombok Timur,2022,"2,679.88","1,368,136",510.52,Low,0.08,67.59,"22,600",1,"19,620.96",69.27
52042022,Sumbawa,2022,"6,643.98","522,357",78.62,Low,0.65,68.89,"16,108",2,"9,482.04",70.17
52052022,Dompu,2022,"2,324.55","243,404",104.71,Low,,69.15,"7,826",,,70.33
52062022,Bima,2022,"4,389.00","527,664",120.22,Low,,67.57,"12,734",1,"10,110.21",69.3
52072022,Sumbawa Barat,2022,"1,742.27","150,338",86.29,Low,7.88,72.65,"31,512",,,71.22
52082022,Lombok Utara,2022,809.53,"254,145",313.94,Low,,65.7,"5,051",1,"3,744.61",70.25
52712022,City of Mataram,2022,61.30,"437,162",7131.52,Medium,,79.59,"21,182",1,"9,643.69",67.91
53012022,Sumba Barat,2022,757.41,"149,804",197.78,Low,,64.43,"2,583",,,71.58
53032022,Kupang,2022,"5,136.51","373,259",72.67,Low,,65.04,"8,483",,,69.96
53042022,Timor Tengah Selatan,2022,"3,933.15","467,732",118.92,Low,,62.73,"8,810",,,71.82
53062022,Belu,2022,"1,127.25","226,307",200.76,Low,,63.22,"5,036",,,70.67
53072022,Alor,2022,"2,928.56","218,059",74.46,Low,0.01,62.26,"3,363",,,71.85
53082022,Lembata,2022,"1,268.11","139,436",109.96,Low,,65.47,"2,017",,,73.32
53092022,Flores Timur,2022,"1,748.52","284,122",162.49,Low,,64.93,"5,643",,,72.06
53102022,Sikka,2022,"1,671.65","330,429",197.67,Low,,66.06,"5,703",,,70.2
53112022,Ende,2022,"2,085.24","275,785",132.26,Low,,67.97,"6,793",,,70.88
53122022,Ngada,2022,"1,735.64","169,383",97.59,Low,,68.26,"3,819",,,71.51
53132022,Manggarai,2022,"1,343.83","323,054",240.40,Low,,65.83,"5,097",,,70.22
53152022,Manggarai Barat,2022,"3,129.00","265,613",84.89,Low,0.08,64.92,"3,884",1,"3,097.24",70.27
53162022,Sumba Tengah,2022,"1,789.66","88,706",49.57,Low,0.32,62.71,"1,303",,,73.3
53172022,Sumba Barat Daya,2022,"1,383.31","315,427",228.02,Low,,63.15,"4,176",,,72.74
53202022,Sabu Raijua,2022,460.96,"91,877",199.32,Low,,57.9,"1,546",,,73.93
53212022,Malaka,2022,"1,109.16","188,493",169.94,Low,,61.34,"3,144",,,69.41
